,X,Y,Z,formation
0,595339.6397026868,7475215.659394684,648.0,A_mgn_PMI
1,598240.3755943767,7475072.194786466,647.0,A_mgn_PMI
2,599322.4702033576,7475172.31912897,638.0,A_mgn_PMI
3,600443.121718179,7475132.264280763,662.0,A_mgn_PMI
4,602893.6126635213,7474511.612016469,644.0,A_mgn_PMI
5,603029.8854197487,7470670.243529094,608.0,A_mgn_PMI
6,598868.5298961233,7471335.786839824,604.0,A_mgn_PMI
7,595449.3205296319,7471555.295463413,625.0,A_mgn_PMI
8,594342.7316553916,7472032.983031355,639.0,A_mgn_PMI
9,594251.6607800417,7472428.374417733,639.0,A_mgn_PMI
10,595742.8711577316,7473248.364164664,614.0,A_mgn_PMI
11,595831.5666488395,7474476.303791994,736.0,A_mgn_PMI
12,595538.8798032873,7474912.590104986,648.0,A_mgn_PMI
13,537832.4836919553,7468176.2224615365,418.0,A_mgn_PRK
14,536495.3120838071,7468118.396934148,421.0,A_mgn_PRK
15,536288.9796525597,7468097.901211045,421.0,A_mgn_PRK
16,535601.2773661007,7467754.72624159,448.0,A_mgn_PRK
17,535435.0738734421,7467567.732640707,457.0,A_mgn_PRK
18,528876.2671811064,7469505.786057865,426.0,A_mgn_PRK
19,529840.1690636952,7470351.276178615,441.0,A_mgn_PRK
20,530441.2157142033,7470688.893598527,440.0,A_mgn_PRK
21,530487.2538402608,7471235.097757153,443.0,A_mgn_PRK
22,530183.9663657462,7471253.792489483,443.0,A_mgn_PRK
23,529970.6528639967,7471153.708698551,446.0,A_mgn_PRK
24,529376.3378669642,7471291.058415473,443.0,A_mgn_PRK
25,528281.202615419,7471303.056444611,439.0,A_mgn_PRK
26,527305.8334002855,7470972.901875313,449.0,A_mgn_PRK
27,527244.7220408154,7470919.222856504,449.0,A_mgn_PRK
28,544668.756408711,7473027.516602358,443.0,A_mgn_PRK
29,541845.3802568769,7472802.996930196,455.0,A_mgn_PRK
30,540163.4956836693,7472036.2114728475,437.0,A_mgn_PRK
31,540058.9554132959,7471718.580839915,439.0,A_mgn_PRK
32,539916.8370921101,7471137.798984935,438.0,A_mgn_PRK
33,539205.0303181252,7469536.179134077,443.0,A_mgn_PRK
34,537870.7567497925,7468474.517930813,427.0,A_mgn_PRK
35,537830.6812857522,7468322.7228266215,418.0,A_mgn_PRK
36,535278.3940328932,7476199.391551367,427.0,A_mgn_PRK
37,535099.9313619945,7476912.4743481465,417.0,A_mgn_PRK
38,534137.7852293476,7476549.097902541,412.0,A_mgn_PRK
39,534638.128747385,7476116.624014304,417.0,A_mgn_PRK
40,533853.1181413555,7475329.133005196,421.0,A_mgn_PRK
41,533605.5072976031,7474541.559256649,424.0,A_mgn_PRK
42,533662.5894384136,7474437.5467679035,424.0,A_mgn_PRK
43,534171.8797902489,7473947.152683299,416.0,A_mgn_PRK
44,534558.8248998788,7474297.2529737465,422.0,A_mgn_PRK
45,535607.6180220597,7475344.483858925,429.0,A_mgn_PRK
46,535762.4270554844,7476182.86245551,420.0,A_mgn_PRK
47,535367.8126336791,7476200.05175247,427.0,A_mgn_PRK
48,544484.7774768128,7477016.158176175,456.0,A_mgn_PRK
49,544397.5002209443,7477137.6899901545,456.0,A_mgn_PRK
50,544139.290960225,7477130.201975179,456.0,A_mgn_PRK
51,544002.4299299929,7477164.468291173,456.0,A_mgn_PRK
52,542991.5160121985,7477898.161464718,467.0,A_mgn_PRK
53,541689.8655435317,7478111.688863841,460.0,A_mgn_PRK
54,542375.7962123717,7477146.1992806345,460.0,A_mgn_PRK
55,543320.2951399115,7476175.994385124,462.0,A_mgn_PRK
56,543344.2012410508,7474995.314915032,467.0,A_mgn_PRK
57,543741.7785889395,7474348.649807827,475.0,A_mgn_PRK
58,544487.2128332674,7474334.942730275,461.0,A_mgn_PRK
59,544654.7924869377,7474745.472963411,461.0,A_mgn_PRK
60,544998.1592157447,7478577.313717509,465.0,A_mgn_PRK
61,545322.6306790571,7477301.154721041,459.0,A_mgn_PRK
62,544636.433835394,7476915.489943869,456.0,A_mgn_PRK
63,544868.2102822412,7474423.925841367,461.0,A_mgn_PRK
64,544920.0899500457,7473681.942385331,446.0,A_mgn_PRK
65,533961.667571253,7467563.552800859,452.0,A_mgn_PRK
66,531939.8746238325,7468106.413706929,476.0,A_mgn_PRK
67,530722.2713559273,7468641.257956956,461.0,A_mgn_PRK
68,529690.1272845296,7469169.35868054,439.0,A_mgn_PRK
69,527101.1185845248,7470762.025415137,428.0,A_mgn_PRK
70,526147.7644612386,7471710.876926612,428.0,A_mgn_PRK
71,524840.1022402153,7473401.58617645,401.0,A_mgn_PRK
72,523880.37778817554,7475619.12463027,411.0,A_mgn_PRK
73,523879.3724822399,7478017.186158657,380.0,A_mgn_PRK
74,524536.3721544967,7479933.095326119,386.0,A_mgn_PRK
75,538613.587555973,7478594.32156353,430.0,A_mgn_PRK
76,536847.2659063631,7479350.700009305,423.0,A_mgn_PRK
77,535967.2149738434,7479003.360615301,420.0,A_mgn_PRK
78,536520.7992674407,7478443.863526039,421.0,A_mgn_PRK
79,538136.7171562085,7478240.63544927,437.0,A_mgn_PRK
80,538501.5941104974,7477473.412089231,442.0,A_mgn_PRK
81,536731.045091108,7477285.215285471,423.0,A_mgn_PRK
82,536531.6566701932,7476314.128195019,422.0,A_mgn_PRK
83,536586.6632612402,7475227.54921463,431.0,A_mgn_PRK
84,537266.7558937767,7474785.493459842,443.0,A_mgn_PRK
85,537757.8022947304,7475593.402183661,432.0,A_mgn_PRK
86,538687.8353580245,7475788.8228451805,454.0,A_mgn_PRK
87,539970.5938495453,7476467.629481809,460.0,A_mgn_PRK
88,541368.8946132967,7476539.593306996,443.0,A_mgn_PRK
89,540744.1201164225,7477009.667399068,457.0,A_mgn_PRK
90,539986.6402774684,7477628.1736539295,469.0,A_mgn_PRK
91,538843.4670476104,7478429.430817245,430.0,A_mgn_PRK
92,524661.1186976125,7480154.136576925,392.0,A_mgn_PRK
93,529857.5620241178,7481722.651136586,430.0,A_mgn_PRK
94,536442.5639294137,7480980.2662026165,431.0,A_mgn_PRK
95,538468.4709589347,7480517.310334147,459.0,A_mgn_PRK
96,538899.7967236956,7480795.218376652,500.0,A_mgn_PRK
97,542006.2650452364,7480484.334060509,472.0,A_mgn_PRK
98,544321.3884137445,7479212.871470756,469.0,A_mgn_PRK
99,544727.1083033289,7478829.802409627,467.0,A_mgn_PRK
100,561293.619526179,7455349.259925468,639.0,A_FOp_bs
101,559936.2746657947,7456080.341168587,708.0,A_FOp_bs
102,558604.9750787618,7456926.1612638505,562.0,A_FOp_bs
103,556005.9801730227,7457358.214408662,568.0,A_FOp_bs
104,553672.8084996745,7458185.139810738,512.0,A_FOp_bs
105,550988.9270688716,7458568.500968415,485.0,A_FOp_bs
106,548391.314727793,7459379.14198527,451.0,A_FOp_bs
107,546176.2178914337,7459699.553463654,450.0,A_FOp_bs
108,544611.3705837718,7458993.090767167,429.0,A_FOp_bs
109,544719.480461719,7458718.081359063,462.0,A_FOp_bs
110,544443.7025863797,7458723.403171156,462.0,A_FOp_bs
111,542840.138301893,7459002.428080529,424.0,A_FOp_bs
112,541502.5351234335,7459800.466130627,420.0,A_FOp_bs
113,541427.009102683,7459828.239052882,420.0,A_FOp_bs
114,603029.0200418186,7480464.000801552,643.0,A_FOo_bbo
115,601028.9370632615,7480657.715139114,635.0,A_FOo_bbo
116,599600.888997796,7480284.600079208,628.0,A_FOo_bbo
117,597054.5465465311,7480093.2911244575,639.0,A_FOo_bbo
118,595956.129872135,7479826.59406314,631.0,A_FOo_bbo
119,596175.0897791595,7479767.811655773,631.0,A_FOo_bbo
120,595328.343015984,7479612.798703375,642.0,A_FOo_bbo
121,592432.0797258567,7479004.494289828,648.0,A_FOo_bbo
122,591270.8360118982,7477905.15835631,664.0,A_FOo_bbo
123,592866.0236027882,7477315.665237268,674.0,A_FOo_bbo
124,593301.2599011702,7476858.4621874755,692.0,A_FOo_bbo
125,593047.1074344097,7476488.259912895,800.0,A_FOo_bbo
126,590977.6574466258,7476572.8669970995,675.0,A_FOo_bbo
127,590159.5827445235,7476022.344175463,685.0,A_FOo_bbo
128,589225.7621214107,7475433.2604440125,666.0,A_FOo_bbo
129,588170.564656372,7474204.404023679,714.0,A_FOo_bbo
130,590163.8106140215,7472092.84371276,670.0,A_FOo_bbo
131,591703.5013032177,7470820.180015899,664.0,A_FOo_bbo
132,591845.5579654068,7470123.660450129,703.0,A_FOo_bbo
133,591839.539693881,7470118.966639749,703.0,A_FOo_bbo
134,595328.3560999824,7475216.3759542825,648.0,A_FOh_xs_f
135,593941.0826295682,7475359.236069108,698.0,A_FOh_xs_f
136,592093.3387565991,7474574.00932708,629.0,A_FOh_xs_f
137,592146.5697871853,7472863.184719213,691.0,A_FOh_xs_f
138,591554.1617557445,7472675.25463422,642.0,A_FOh_xs_f
139,592008.7625777855,7472142.600258662,642.0,A_FOh_xs_f
140,594007.7568119173,7471337.241362989,695.0,A_FOh_xs_f
141,595106.0344948327,7471047.369851123,658.0,A_FOh_xs_f
142,596406.12822312,7470108.717250898,627.0,A_FOh_xs_f
143,597123.2448027623,7469726.214672788,628.0,A_FOh_xs_f
144,597787.771926674,7469626.065467621,636.0,A_FOh_xs_f
145,598092.3161430627,7469303.634050426,625.0,A_FOh_xs_f
146,597372.1511475665,7467960.567739262,651.0,A_FOh_xs_f
147,598325.1626997194,7467466.380253848,643.0,A_FOh_xs_f
148,600786.7703792918,7467193.100900141,625.0,A_FOh_xs_f
149,602538.5022917634,7466941.051060912,611.0,A_FOh_xs_f
150,603029.0858026312,7474465.434177354,644.0,A_FOh_xs_f
151,600438.5845096281,7475134.017975397,662.0,A_FOh_xs_f
152,599690.6241478993,7475239.69959941,638.0,A_FOh_xs_f
153,598237.538553342,7475074.533408061,647.0,A_FOh_xs_f
154,595811.7071684871,7475244.36778116,649.0,A_FOh_xs_f
155,603029.3452825516,7479883.548532869,627.0,A_FOh_xs_f
156,600715.151363267,7479532.526115349,625.0,A_FOh_xs_f
157,598400.2808046304,7479284.459310994,622.0,A_FOh_xs_f
158,598522.263205349,7479224.353128368,622.0,A_FOh_xs_f
159,597757.6507661897,7479155.727795148,630.0,A_FOh_xs_f
160,595745.7859497853,7478662.84014142,634.0,A_FOh_xs_f
161,595441.0539947964,7478461.9957114905,632.0,A_FOh_xs_f
162,595711.426518408,7477295.623697933,642.0,A_FOh_xs_f
163,598819.3790554818,7476656.897170316,715.0,A_FOh_xs_f
164,601643.0990953763,7476416.145916225,628.0,A_FOh_xs_f
165,602802.6410521851,7476245.955942974,605.0,A_FOh_xs_f
166,571819.8964831815,7470905.972272306,773.0,A_HAd_kd
167,572114.8601051908,7468824.85505879,681.0,A_HAd_kd
168,570422.1368852784,7467342.345727646,660.0,A_HAd_kd
169,568652.3744960212,7465857.933225491,594.0,A_HAd_kd
170,564500.7282806088,7466651.121859852,589.0,A_HAd_kd
171,562303.0918948354,7468135.8102803985,570.0,A_HAd_kd
172,561327.9964543979,7468821.224806538,592.0,A_HAd_kd
173,560612.7688563819,7470303.570812388,661.0,A_HAd_kd
174,561485.0654703275,7472764.78315602,615.0,A_HAd_kd
175,561879.2155641444,7474430.910797371,680.0,A_HAd_kd
176,560637.4533384503,7476333.091819768,758.0,A_HAd_kd
177,560425.0313819593,7478583.1273598485,639.0,A_HAd_kd
178,558497.4448899484,7480908.093914917,645.0,A_HAd_kd
179,603028.4135778659,7481171.843926745,646.0,A_FOp_bs
180,598791.2633957395,7481058.4171231575,646.0,A_FOp_bs
181,596115.6112801965,7480610.56498064,641.0,A_FOp_bs
182,595429.9195337503,7480530.10062038,635.0,A_FOp_bs
183,594667.4858932211,7480477.022180198,653.0,A_FOp_bs
184,594728.4378297864,7480385.759792992,653.0,A_FOp_bs
185,593040.5504462192,7480009.077071852,641.0,A_FOp_bs
186,587978.1257947936,7478182.102627841,678.0,A_FOp_bs
187,603028.4679936202,7524191.795458524,722.0,A_HAS_xsl_ci
188,602127.2149018174,7524966.805654083,831.0,A_HAS_xsl_ci
189,601454.2506877237,7525865.677397258,704.0,A_HAS_xsl_ci
190,601366.5884461157,7526157.819201729,715.0,A_HAS_xsl_ci
191,601852.6068961154,7527200.181208891,808.0,A_HAS_xsl_ci
192,602908.7296966293,7527493.804153902,757.0,A_HAS_xsl_ci
193,572992.3337288337,7479477.593549243,689.0,A_HAm_cib
194,571867.8286919317,7479231.347607308,681.0,A_HAm_cib
195,570571.0246449241,7478841.858709646,698.0,A_HAm_cib
196,569905.8392873773,7478543.249714324,679.0,A_HAm_cib
197,569724.8345585421,7477763.341260516,701.0,A_HAm_cib
198,570106.7239694936,7476220.403689175,714.0,A_HAm_cib
199,570008.9170306482,7476056.8428938575,714.0,A_HAm_cib
200,573869.3884320019,7472339.15588635,714.0,A_HAm_cib
201,573721.9884955498,7471107.132333743,665.0,A_HAm_cib
202,566872.4388423222,7479700.5606287,932.0,A_HAS_xsl_ci
203,566490.0148806713,7478748.63117405,750.0,A_HAS_xsl_ci
204,566446.3201994367,7478667.964303289,750.0,A_HAS_xsl_ci
205,565484.8877473657,7479174.534564147,1030.0,A_HAS_xsl_ci
