,X,Y,Z,formation
0,595340.78,7475216.881,648.0,A_mgn_PMI
1,598240.0302,7475073.909,647.0,A_mgn_PMI
2,599321.5095,7475169.92,638.0,A_mgn_PMI
3,600440.6685,7475131.93,662.0,A_mgn_PMI
4,602892.4896,7474513.942000001,644.0,A_mgn_PMI
5,603028.0,7470668.84,608.0,A_mgn_PMI
6,598870.9707,7471334.331,604.0,A_mgn_PMI
7,595450.5886,7471556.308999999,625.0,A_mgn_PMI
8,594340.5406,7472033.801,639.0,A_mgn_PMI
9,594252.8006,7472428.299,639.0,A_mgn_PMI
10,595744.7679,7473247.83,614.0,A_mgn_PMI
11,595833.2906,7474475.86,736.0,A_mgn_PMI
12,595536.4201,7474910.38,648.0,A_mgn_PMI
13,537833.3905,7468177.289,418.0,A_mgn_PRK
14,536494.8793,7468120.761,421.0,A_mgn_PRK
15,536291.3397,7468096.75,421.0,A_mgn_PRK
16,535602.8883,7467756.749,448.0,A_mgn_PRK
17,535436.6282,7467566.748,457.0,A_mgn_PRK
18,528876.5315,7469505.347999999,426.0,A_mgn_PRK
19,529840.8614,7470352.831,441.0,A_mgn_PRK
20,530440.3115,7470687.31,440.0,A_mgn_PRK
21,530487.4297,7471234.31,443.0,A_mgn_PRK
22,530182.251,7471254.82,443.0,A_mgn_PRK
23,529971.9081,7471154.319,446.0,A_mgn_PRK
24,529374.7694,7471291.339,443.0,A_mgn_PRK
25,528281.0304,7471303.348999999,439.0,A_mgn_PRK
26,527306.3588,7470971.36,449.0,A_mgn_PRK
27,527242.5721,7470920.868,449.0,A_mgn_PRK
28,544669.6197,7473027.557999999,443.0,A_mgn_PRK
29,541847.5398,7472802.96,455.0,A_mgn_PRK
30,540163.8704,7472034.391,437.0,A_mgn_PRK
31,540060.618,7471716.881,439.0,A_mgn_PRK
32,539917.9384,7471138.379,438.0,A_mgn_PRK
33,539204.3993,7469538.35,443.0,A_mgn_PRK
34,537870.2504,7468476.289,427.0,A_mgn_PRK
35,537831.3584,7468323.791,418.0,A_mgn_PRK
36,535280.5999,7476198.387999999,427.0,A_mgn_PRK
37,535099.6086,7476911.921,417.0,A_mgn_PRK
38,534137.6098,7476547.907000001,412.0,A_mgn_PRK
39,534637.9201,7476118.88,417.0,A_mgn_PRK
40,533851.9383,7475327.35,421.0,A_mgn_PRK
41,533606.5676,7474539.84,424.0,A_mgn_PRK
42,533663.3105,7474437.329,424.0,A_mgn_PRK
43,534169.6895,7473944.818,416.0,A_mgn_PRK
44,534559.289,7474298.819,422.0,A_mgn_PRK
45,535607.23,7475343.36,429.0,A_mgn_PRK
46,535763.8405,7476182.881,420.0,A_mgn_PRK
47,535369.671,7476197.887999999,427.0,A_mgn_PRK
